Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
144.69,1963.0,-58.17,3492.0,-90.86,4276.0,-51.45,2158.0,-119.35,2978.0,39.0,46.0,-51.45,2158.0,-119.35,2978.0
181.37,3383.0,-68.74,4826.0,-113.68,5530.0,-99.47,3523.0,-114.24,4314.0,31.0,78.0,-41.58,3484.0,-86.38,4268.0
214.27,4686.0,-95.9,6096.0,-97.93,6936.0,-105.91,4818.0,-129.08,5561.0,23.0,39.0,-72.38,4787.0,-81.97,5483.0
192.15,5932.0,-99.96,7432.0,-112.42,8210.0,-122.85,6080.0,-108.08,6912.0,16.0,55.0,-77.07,6057.0,-86.45,6873.0
211.4,7284.0,-87.85,8723.0,-111.3,9548.0,-109.48,7417.0,-113.75,8202.0,16.0,39.0,-88.27,7401.0,-85.82,8147.0
192.22,8582.0,-108.36,10046.0,-110.11,10802.0,-95.76,8715.0,-112.77,9540.0,24.0,70.0,-84.14,8699.0,-79.24,9501.0
192.29,9937.0,-112.35,11356.0,-99.33,12168.0,-110.67,10054.0,-118.72,10825.0,24.0,39.0,-83.93,10030.0,-79.94,10755.0
202.37,11199.0,-111.02,12677.0,-112.35,13454.0,-112.35,11356.0,-105.42,12152.0,24.0,55.0,-76.51,11332.0,-84.07,12113.0
184.87,12527.0,-125.72,13958.0,-105.14,14727.0,-111.02,12677.0,-112.35,13454.0,23.0,77.0,-84.0,12653.0,-79.45,13399.0
211.26,13809.0,-96.04,15256.0,-106.33,16057.0,-126.98,13950.0,-113.33,14751.0,16.0,62.0,-89.32,13927.0,-77.14,14674.0
203.98,15124.0,-119.91,16572.0,-87.36,17435.0,-110.39,15248.0,-109.13,16049.0,24.0,46.0,-95.69,15232.0,-80.57,15987.0
186.83,16414.0,-109.62,17909.0,-100.73,18687.0,-119.91,16572.0,-101.92,17411.0,23.0,55.0,-90.93,16548.0,-81.41,17365.0
206.22,17760.0,-102.27,19216.0,-103.67,19962.0,-109.62,17909.0,-100.73,18687.0,16.0,78.0,-84.7,17886.0,-74.62,18632.0
190.26,19092.0,-108.29,20504.0,-80.57,21368.0,-102.48,19208.0,-113.26,19986.0,32.0,39.0,-83.72,19192.0,-75.46,19908.0
200.06,20364.0,-109.76,21850.0,-103.74,22693.0,-108.92,20512.0,-99.4,21337.0,16.0,55.0,-75.11,20480.0,-76.37,21298.0
204.75,21716.0,-105.07,23237.0,-100.66,24058.0,-111.23,21842.0,-106.4,22686.0,15.0,69.0,-83.3,21826.0,-77.14,22631.0
169.26,23057.0,-107.87,24571.0,-99.19,25419.0,-105.63,23228.0,-104.65,24073.0,23.0,47.0,-85.75,23213.0,-72.31,24004.0
197.61,24446.0,-104.16,25945.0,-87.22,26830.0,-107.87,24571.0,-102.55,25403.0,24.0,38.0,-77.0,24548.0,-75.18,25356.0
176.4,25804.0,-99.54,27351.0,-94.71,28189.0,-104.16,25945.0,-96.88,26806.0,16.0,23.0,-79.8,25921.0,-78.96,26768.0
187.53,27178.0,-90.23,28752.0,-95.97,29563.0,-104.37,27343.0,-106.75,28181.0,16.0,62.0,-84.35,27327.0,-71.89,28158.0
176.68,28579.0,-102.13,30108.0,-111.58,30903.0,-95.69,28744.0,-110.25,29594.0,32.0,69.0,-75.81,28728.0,-73.36,29532.0
167.3,29960.0,-122.22,31440.0,-114.66,32230.0,-114.59,30124.0,-116.48,30926.0,24.0,54.0,-79.1,30092.0,-75.95,30857.0
197.68,31324.0,-104.72,32737.0,-79.1,33520.0,-122.22,31440.0,-118.79,32215.0,115.0,39.0,-86.66,31416.0,-82.95,32161.0
197.75,32606.0,-96.04,34041.0,-108.64,34802.0,-125.09,32821.0,-101.78,33497.0,16.0,62.0,-90.02,32706.0,-87.01,33458.0
172.34,33880.0,-79.03,35364.0,-111.02,36106.0,-107.8,34026.0,-114.87,34817.0,23.0,54.0,-94.01,34010.0,-79.66,34755.0
180.53,35193.0,-107.52,36613.0,-112.56,37423.0,-107.8,35348.0,-111.02,36106.0,23.0,47.0,-89.95,35325.0,-76.79,36052.0
176.89,36475.0,-122.71,37910.0,-108.99,38675.0,-107.52,36613.0,-115.71,37408.0,24.0,55.0,-83.16,36590.0,-80.36,37361.0
215.67,37792.0,-80.36,39196.0,-57.47,39868.0,-122.71,37910.0,-108.99,38675.0,8.0,116.0,-89.46,37886.0,-79.45,38620.0
200.2,39055.0,-113.33,40502.0,-74.27,41341.0,-109.69,39180.0,-112.56,39984.0,24.0,55.0,-101.85,39172.0,-57.47,39868.0
191.45,40378.0,-107.52,41839.0,-89.74,42634.0,-115.01,40510.0,-115.36,41309.0,24.0,63.0,-91.07,40486.0,-79.03,41254.0
188.02,41706.0,-124.04,43123.0,-111.44,43922.0,-108.36,41847.0,-119.84,42611.0,24.0,47.0,-80.43,41823.0,-82.53,42548.0
201.25,42991.0,-72.17,44419.0,-111.58,45184.0,-124.04,43123.0,-115.57,43906.0,7.0,47.0,-83.86,43099.0,-84.56,43859.0
227.85,44294.0,-103.74,45697.0,-115.57,46477.0,-105.35,44403.0,-113.96,45176.0,15.0,46.0,-94.71,44396.0,-85.19,45129.0
187.25,45565.0,-111.3,46975.0,-106.89,47794.0,-108.43,45689.0,-118.09,46469.0,23.0,40.0,-87.71,45674.0,-85.47,46423.0
194.11,46857.0,-125.65,48300.0,-76.51,49025.0,-117.46,46982.0,-108.29,47786.0,31.0,78.0,-83.09,46959.0,-82.39,47746.0
215.6,48191.0,-99.61,49615.0,-107.24,50391.0,-127.12,48308.0,-119.77,49095.0,16.0,62.0,-80.92,48277.0,-88.41,49017.0
211.33,49474.0,-122.29,50904.0,-115.5,51715.0,-130.55,49599.0,-107.24,50391.0,23.0,63.0,-101.08,49583.0,-81.55,50329.0
238.91,50764.0,-117.6,52230.0,-121.45,52986.0,-132.37,50896.0,-119.77,51707.0,16.0,70.0,-96.39,50873.0,-79.87,51644.0
200.97,52090.0,-125.23,53492.0,-111.72,54256.0,-125.23,52222.0,-121.45,52986.0,24.0,54.0,-103.88,52206.0,-81.27,52916.0
206.01,53360.0,-126.21,54746.0,-96.81,55550.0,-125.23,53492.0,-123.2,54240.0,24.0,39.0,-97.65,53468.0,-85.61,54186.0
210.42,54597.0,-90.65,56087.0,-106.05,56908.0,-126.21,54746.0,-111.37,55526.0,15.0,31.0,-99.82,54722.0,-87.64,55487.0
182.77,55931.0,-140.21,57406.0,-106.33,58230.0,-112.07,56079.0,-109.48,56892.0,16.0,40.0,-95.97,56064.0,-90.44,56861.0
218.54,57258.0,-105.49,58760.0,-110.46,59585.0,-141.19,57398.0,-106.33,58230.0,16.0,46.0,-88.62,57382.0,-79.94,58190.0
204.75,58603.0,-121.03,60088.0,-108.08,60869.0,-105.49,58760.0,-111.23,59592.0,24.0,71.0,-97.44,58744.0,-83.65,59546.0
213.01,59947.0,-114.45,61424.0,-101.08,62273.0,-128.66,60096.0,-112.7,60893.0,16.0,46.0,-88.97,60072.0,-76.3,60822.0
172.27,61267.0,-104.02,62768.0,-131.95,63568.0,-116.41,61416.0,-105.07,62257.0,15.0,62.0,-83.09,61400.0,-80.36,62211.0
216.86,62612.0,-97.86,64107.0,-109.2,64894.0,-112.35,62760.0,-131.95,63568.0,15.0,38.0,-102.27,62745.0,-81.55,63506.0
177.8,63920.0,-96.53,65393.0,-122.08,66155.0,-103.18,64099.0,-113.68,64878.0,16.0,47.0,-89.11,64084.0,-83.3,64840.0
205.52,65259.0,-100.45,66661.0,-119.35,67401.0,-96.53,65393.0,-125.86,66148.0,16.0,39.0,-77.77,65377.0,-89.32,66101.0
173.25,66504.0,-106.4,67931.0,-107.38,68758.0,-100.45,66661.0,-119.63,67393.0,24.0,31.0,-78.61,66645.0,-90.09,67354.0
180.25,67789.0,-93.17,69271.0,-104.93,70060.0,-113.54,67939.0,-111.37,68743.0,16.0,48.0,-73.29,67915.0,-92.54,68712.0
189.56,69138.0,-124.04,70577.0,-107.73,71357.0,-101.99,69264.0,-105.98,70069.0,34.0,54.0,-88.27,69248.0,-82.25,70021.0
207.55,70442.0,-87.43,71934.0,-103.74,72759.0,-125.09,70585.0,-109.41,71364.0,,,-78.82,70551.0,-77.98,71310.0
